title,url,summary,datetime
Gordon L. Allott,https://de.wikipedia.org/wiki/Gordon_L._Allott,"Gordon Llewellyn Allott  war ein US-amerikanischer Politiker . Er war Vizegouverneur im Bundesstaat Colorado und vertrat diesen später im US-Senat. Nach dem Schulbesuch in seiner Heimatstadt Pueblo schrieb sich Gordon Allott an der University of Colorado in Boulder ein. Dort machte er 1927 seinen Abschluss, ehe er 1929 an der Law School der Hochschule sein juristisches Examen ablegte. Im selben Jahr wurde er in die Anwaltskammer aufgenommen, woraufhin er zunächst in Pueblo und nach einem Umzug ab 1930 in Lamar als Jurist praktizierte. 1934 amtierte Allott erstmals als Bezirksstaatsanwalt im Prowers County; diesen Posten übte er erneut von 1941 bis 1946 aus. Zwischenzeitlich fungierte er zwischen 1937 und 1941 als Prozessanwalt der Stadt Lamar. Dort war er überdies von 1934 bis 1960 als Direktor der First Federal Savings & Loan Association of Lamar tätig. Während des Zweiten Weltkrieges diente Allott im United States Army Air Corps, dem Vorläufer der US-Luftwaffe. Er gehörte den Streitkräften von 1942 bis 1946 an und bekleidete den Rang eines Major. Nach Kriegsende betätigte er sich wieder als Jurist und war von 1946 bis 1948 Staatsanwalt im 15. juristischen Distrikt. Von 1951 bis 1955 saß er als stellvertretender Vorsitzender im Begnadigungsausschuss  von Colorado; im gleichen Zeitraum hatte er das Amt des Vizegouverneurs von Colorado unter Gouverneur Dan Thornton inne. Während sich US-Senator Edwin C. Johnson erfolgreich um Thorntons Nachfolge als Gouverneur bemühte, gelang es Allott wiederum, Johnsons Mandat im Senat in Washington, D.C. zu erringen. Nach seiner Wahl nahm er seinen Sitz ab dem 3. Januar 1955 ein; in den Jahren 1960 und 1966 gelang ihm jeweils die Wiederwahl. 1972 schließlich unterlag er dem Demokraten Floyd K. Haskell, woraufhin er den Kongress am 3. Januar 1973 verlassen musste. Von 1969 bis 1973 hatte er im Senat als Vorsitzender des Republican Policy Committee fungiert, eines Ausschusses, der als eine Art interner Denkfabrik der Parteien im Kongress dient. Zu seinem Stab im Senat zählten mit Paul Weyrich, dem Mitbegründer der Heritage Foundation, und George Will zwei spätere prominente Journalisten. Allott starb 1989 in Englewood und wurde in Denver beigesetzt.",2017-07-27 18:21:39
Vasilis Tsitsanis,https://de.wikipedia.org/wiki/Vasilis_Tsitsanis,"Vasilis Tsitsanis  war ein griechischer Komponist, Bouzouki-Virtuose und Sänger. Tsitsanis wird als einer der wichtigsten Vertreter des Rembetiko angesehen und als der Komponist gehandelt, der diese Musik sehr stark weiterentwickelte. Er hat mehr als 600 Lieder auf Platten aufgenommen. Zur großen Mehrheit spielt er bei seinen Stücken selber Bouzouki und singt zweite oder dritte Stimme. Er war jedoch auch bei anderen Komponisten als Bouzoukispieler und Interpret gefragt, so dass er bei zahlreichen Platten seiner „Rivalen“ mitwirkte. Viele seiner Lieder sind auch heute noch sehr populär, wie z. B. Synefiasmeni Kyriaki , das während der Besetzung Griechenlands durch die Deutschen komponiert wurde. Obwohl der Text des Liedes keine politischen Anspielungen enthält, wurde es immer wieder politisch interpretiert. Es gehört zu den Liedern, die viele Griechen auswendig können.",2017-07-27 18:21:50
Nkope-Kultur,https://de.wikipedia.org/wiki/Nkope-Kultur,"Nkope-Kultur ist eine eisenzeitliche Kultur in Malawi, im östlichen Sambia und in Mosambik. Es handelt sich um die frühste eisenzeitliche Kultur in dieser Region und zugleich um die erste Ackerbau treibende Kultur in diesem Gebiet. Es wird vermutet, ohne dass es bewiesen werden kann, dass es sich schon um eine Bantu sprechende Bevölkerungsgruppe handelte. Die Nkope-Kultur ist nach der Ausgrabungsstätte Nkope  benannt. Sie datiert von etwa 250 bis 1000 n. Chr. Die Nkope-Kultur wird vor allem durch ihre Keramik definiert. Es handelt sich meist um runde Gefäße mit umgestülptem Rand und Schalen mit abgeflachtem, verdicktem oder nach innen gewandtem Rand. Die Wandung der Keramik ist oft auffallend dick. Die Orte der Nkope-Kultur finden sich meist am Malawisee und an den Ufern des Shire. Bei Ausgrabungen wurden teilweise recht große Dörfer mit Resten von Häusern, Knochen domestizierter Rindern und Reibsteine, die auf Getreideanbau hindeuten, gefunden. Jagd und Fischfang waren aber weiterhin von großer Bedeutung. Muscheln und Glasperlen belegen den Handel mit der afrikanischen Ostküste. Eisen kommt nur sporadisch vor und scheint noch sehr wertvoll gewesen zu sein. Steinwerkzeuge spielten weiterhin eine bedeutende Rolle. Auf die Nkope Keramik folgen in Malawi in der späten Eisenzeit die Kapeni, Longwe, Mawudzu und Nkhudzi-Keramik. Die Nkope Kultur wird erst seit 1968 erforscht, als Keith Robinson damit begann, Ausgrabungen an verschiedenen Orten in Malawi durchzuführen. Sie wird von Th. Huffmann der Zimbabwe Culture, also dem Munhumutapa-Reich zugeordnet.",2017-07-27 18:21:56
Naturpark Bautzen,https://de.wikipedia.org/wiki/Naturpark_Bautzen,"Der Naturpark Bautzen befindet sich im Südosten des Stadtgebietes von Bautzen. Er ist nicht auf das Wirken eines Gartenkünstlers zurückzuführen und deswegen kein Park im eigentlichen Sinne. Der nicht mit der Schutzgebietskategorie Naturpark zu verwechselnde Park ist in seiner Topographie eine landwirtschaftliche Grenzfläche mit dem Charakter eines Bachtalwaldes und wurde deshalb ab 1900 von der Bevölkerung der ostwärts wachsenden Stadt als öffentliche Freianlage genutzt. Der entscheidende Schritt zum Ausflugsziel wurde aber erst 1913 mit dem Bau des Wirtshauses und der Anlage des Teiches, wie historische Karten belegen, getan. Es liegt nahe, dass der Bau des Teiches mit Hilfe von staatlichen Regulierungsmaßnahmen für Gewässer finanziert und realisiert wurde. Die Hochwasserschäden der Spree in den Jahren 1860 und 1897 könnten den Ausschlag dafür gegeben haben. Mithilfe einer Staumauer wurde das Binnewitzer Wasser angestaut, der entstandene Teich wurde anfänglich als Badeanstalt genutzt. Die Nutzung als Gondelteich dauerte länger an. Nach der völligen Verwahrlosung begann man 1984 mit der Instandsetzung der Teichanlagen. Eine wechselvolle Geschichte erlebte auch das Wirtshaus im Naturpark. So wurde es von 1922 bis 1927 als Notversorgung für die Quäker und ab 1933 als Kinderheim genutzt. 1945 bezogen Teile der Deutschen Fliegerstaffel in den Gebäuden des Gasthauses Quartier. Die Ackerflächen östlich des Naturparks dienten als Rollfeld. Nach Kriegsende wurden die Gebäude erneut als Kinderheim genutzt. 1958 konnte das Wirtshaus wiedereröffnet werden. In diesem Zuge bereicherte man das Freizeitangebot im Naturpark um einen Kinderspielplatz und ein Tiergehege. In den 1980er und 1990er Jahren wurde der Naturpark zunehmend dem Verfall und der Verwahrlosung preisgegeben. Nach der politischen Wende 1989 wurde die Stadt Bautzen Eigentümer des Naturparks. Aber erst im August 1998 wurde die Gaststätte im Naturpark wiedereröffnet. Dadurch rückten auch die Flächen im Kerbtal des Binnewitzer Wassers wieder vermehrt ins öffentliche Interesse. Die Stadt Bautzen unternahm verschiedene Versuche, das Gebiet des Naturparks wieder zu beleben. In den Jahren 2003/04 konnte auf der Grundlage einer Diplomarbeit die Neukonzeption des Naturparks realisiert werden.",2017-07-27 18:22:53
Friedrich Erdmann Maschinenfabrik,https://de.wikipedia.org/wiki/Friedrich_Erdmann_Maschinenfabrik,"Die Friedrich Erdmann Maschinenfabrik war ein Motorrad- und Automobilhersteller, der in Gera beheimatet war. Ab 1904 wurden dort Personen- und Lieferwagen unter dem Namen Erdmann hergestellt. Ab 1906 lautete der Markenname F.E.G. . Die Wagen waren mit Einbaumotoren verschiedener Hersteller ausgestattet. Die Fafnir-Werke lieferten die Motoren für die Voituretten. Die Modelle 18/20 PS und 35/40 PS hatten Vierzylindermotoren von Horch. Das Automobilwerk Wilhelm Körting lieferte Zweizylindermotoren für den 12/14 PS und Vierzylindermotoren für den 26/28 PS. Über ein Friktionsgetriebe, das nur zum Anfahren diente, wurden die Hinterräder angetrieben. Hatten die Wagen ihre Reisegeschwindigkeit erreicht, wurden die Motoren direkt an den Hinterradantrieb gekuppelt. Mangels Nachfrage wurde die Automobilproduktion 1908 wieder eingestellt, aber der Erdmann-Friktionsantrieb wurde von der Berliner Motorwagen-Fabrik übernommen.",2017-07-27 18:23:06
The Boss (Band),https://de.wikipedia.org/wiki/The_Boss_(Band),"The Boss  ist eine südkoreanische Boyband mit fünf Mitgliedern, geformt unter Open World Entertainment im Jahr 2010. In Südkorea sind sie als Dae Guk Nam Ah bekannt, was übersetzt „The Boys from Super Space“  bedeutet. Daraus wurde der englische Name „The Boss“ abgeleitet. In Japan heißen sie Daikoku Danji . Die Band besteht aus Mika, Karam, Hyunmin, Injun und Jay. Alle Mitglieder von The Boss waren bei Xing Entertainment unter Vertrag und ehemalige Mitglieder der Generationenband Xing, wo sie allerdings andere Bühnennamen trugen. Nachdem sie am 28. Januar 2010 offiziell angekündigt wurden, machten sie ihr Debüt am 4. März 2010 mit dem Lied Admiring Boy auf dem Unterhaltungssender Mnet beim M!Countdown. Ihr erstes Comeback hatten sie am 18. Juni 2010 bei der KBS2 Music Bank mit Biteul, Biteul , nachdem sie das zugehörige Musikvideo veröffentlicht hatten.",2017-07-27 18:23:08
Haus Heerweg 16 (LVR-Klinik Düren),https://de.wikipedia.org/wiki/Haus_Heerweg_16_(LVR-Klinik_D%C3%BCren),"Das Haus Heerweg 16 steht am Rand des Geländes der LVR-Klinik in Düren in Nordrhein-Westfalen. Auf dem Gelände der Klinik befinden sich verschiedene denkmalgeschützte Bauten, die zwischen 1874 und 1878 als Teil der ehemaligen Provinzial Heil- und Pflegeanstalt errichtet wurden. Es handelt sich um Bedienstetenwohnhäuser. Sie wurden um 1925 erbaut. Es handelt sich um unterschiedlich gestaltete zweigeschossige Backsteinbauten mit Walmdächern. Ein Haus hat ein Krüppelwalmdach. Die Dachüberstände sind als Putzgesims ausgebildet. Die rechteckigen Fensteröffnungen sind mit modernen Ganzglasscheiben versehen. Die Eingangstüren sind original erhalten. Das Bauwerk ist unter Nr. 1/001u in die Denkmalliste der Stadt Düren eingetragen.",2017-07-27 18:23:48
Tang Wuzong,https://de.wikipedia.org/wiki/Tang_Wuzong,"Tang Wuzong 唐武宗  war der 15. Kaiser der chinesischen Tang-Dynastie, er regierte von 840 bis 846. Der Nachwelt blieb er vor allem als fanatischer Daoist in Erinnerung, der Andersgläubige verfolgen ließ. Vor Beginn seiner Herrschaft war der Einfluss der Eunuchen so stark, dass sie oft die praktischen politischen Entscheidungen trafen. Mehrere Vorgänger von Wuzong waren von ihnen ermordet worden. Es gelang Wuzong jedoch mit Hilfe seines Onkels Xuānzong und des Kanzlers Li Deyu, sich gegenüber den Eunuchen durchzusetzen und ihren Einfluss einzuschränken. Wuzong, der selbst ein fanatischer Daoist war, nahm einen militärischen Erfolg über die Uiguren im Westen des Reiches zum Anlass, ihre Religion, den Manichäismus, zu verbieten. Es folgten dann weitere Repressionen gegen andere Religionen  und schließlich auch gegen den in China zu dieser Zeit bereits weit verbreiteten und volkstümlich gewordenen Buddhismus. Viele Tempel, die große Reichtümer angesammelt hatten, wurden zerstört und ihre Vermögen vom Staat konfisziert, der in ernsten finanziellen Schwierigkeiten war. In stark eingeschränktem Maße wurde die Ausübung der buddhistischen Religion jedoch weiterhin gestattet. Wuzong starb 846 im Alter von 36 Jahren. Sein Onkel Xuānzong wurde sein Nachfolger, am Beginn seiner Amtszeit beendete er die Verfolgung der Buddhisten.",2017-07-27 18:23:56
Lena Dąbkowska-Cichocka,https://de.wikipedia.org/wiki/Lena_D%C4%85bkowska-Cichocka,"Lena Dąbkowska-Cichocka  ist eine polnische Politikerin, ehemalige Unterstaatssekretärin in der Kanzlei des Präsidenten Lech Kaczyński, ehemalige Beraterin des Präsidenten, seit 2007 Abgeordnete des Sejm in der VI. Wahlperiode. 1998 beendete sie ihr Studium an der Fakultät für Theaterwissenschaften der Akademia Teatralna Warschau. Mehrere Jahre lang arbeitete sie für die Polnische Robert Schuman Stiftung und das Adam-Mickiewicz-Institut, von 2003 bis 2005 war sie am Museum des Warschauer Aufstandes angestellt. Vom 28. Dezember 2005 bis zum 29. Oktober 2007 war sie Unterstaatssekretärin für Kultur, Nationales Erbe und Wissenschaft in der Kanzlei des Präsidenten Lech Kaczyński. Zwischen dem 29. Oktober 2007 und dem 8. November 2007 war sie Beraterin des Präsidenten für Kultur, Nationales Erbe und Wissenschaft. Bei den Parlamentswahlen 2007 wurde sie mit 18.394 Stimmen über die Liste der Prawo i Sprawiedliwość  für den Wahlkreis Opole in den Sejm gewählt. Sie ist Mitglied der Sejm-Kommissionen für Kultur und Medien sowie auswärtige Angelegenheiten. Sie ist die Ehefrau von Marek Cichocki.",2017-07-27 18:24:11
Polmlek,https://de.wikipedia.org/wiki/Polmlek,"Die Grupa Polmlek ist eines der größten Unternehmen der milchverarbeitenden Industrie Polens. Die Gruppe erwirtschaftete im Jahr 2009 einen Umsatz von rund EUR 350 Millionen und lag damit hinter den Firmen Mlekpol, Mlekovita und der polnischen Dependance von Danone an vierter Stelle im Markt. Der Sitz der Firma ist in Pułtusk in der Woiwodschaft Masowien. Anfang der 1990er Jahre wurde die Firma von den beiden Gesellschaftern Andrzej Grabowski und Jerzy Borucki gegründet. Zunächst wurde der Handel mit Milchpulver und Kasein betrieben. Im Jahr 1994 wurde die erste Molkerei  erworben. Nach weiteren Zukäufen umfasst die Gruppe heute 11 Gesellschaften. Täglich werden rund 1,4 Millionen Liter Milch angekauft und verarbeitet. 65 % des Umsatzes realisiert die Gruppe in Polen. Hauptsächlich Milchpulver wird exportiert, das vor Allem nach Russland, Rumänien und Ungarn verkauft wird. Bekannte Marken der Gruppe sind die Produktmarken „Capresi“, „Q-Jogurt“, „Uchaty“ und „Warmia“ sowie die Herstellermarken „Mackowy“, „Mlawa“, „Serwar“ und „Starco“. Das Unternehmen sponsert Sport- und Kulturveranstaltungen. Besonders bekannt ist die Unterstützung der Aktivitäten zum Jahrestag der Schlacht bei Tannenberg.",2017-07-27 18:24:19
Gesellschaft für Arzneimittelanwendungsforschung und Arzneimittelepidemiologie,https://de.wikipedia.org/wiki/Gesellschaft_f%C3%BCr_Arzneimittelanwendungsforschung_und_Arzneimittelepidemiologie,"Die Gesellschaft für Arzneimittelanwendungsforschung und Arzneimittelepidemiologie  ist eine Fachgesellschaft für Ärzte, Apotheker, Sozialwissenschaftler, Epidemiologen und Gesundheitswissenschaftler, die sich mit Fragen der Arzneimittelanwendungsforschung und der Arzneimittelepidemiologie beschäftigen. Die GAA ist Mitglied in der Arbeitsgemeinschaft der Wissenschaftlichen Medizinischen Fachgesellschaften . Der Verein wurde 1992 gegründet und unterstützt die wissenschaftliche Forschung über die Anwendung und den Gebrauch von Arzneimitteln. Die Gesellschaft versteht sich in erster Linie als ein Forum für den wissenschaftlichen Austausch insbesondere zu den folgenden – public health relevanten – Fragestellungen: Vergleichende Untersuchungen zu Umfang und Art des Arzneimittelgebrauchs nach Regionen, im Zeitablauf und nach Bevölkerungsgruppen Determinanten der Arzneimittelverordnung und -anwendung Die Rolle des Verbrauchers, Selbstmedikation und Arzneimittelwünsche der Patienten Untersuchungen zu Nutzen und Risiken der Arzneimittelanwendung Methoden zur Erfassung unerwünschter Arzneimittelwirkungen  Qualität der Verordnungsweise Strategien zur Verbesserung der Arzneimittelanwendung  Einflüsse gesundheitspolitischer Maßnahmen auf Art und Umfang des Arzneimittelgebrauchs Gesundheitsökonomische Aspekte Methodische Fragen der Arzneimittelverbrauchsforschung Der Verein fördert durch die Möglichkeit der Präsentation von Untersuchungsergebnissen auf der jährlichen Tagung den wissenschaftlichen Nachwuchs und tritt für eine Verbreitung der Forschungsergebnisse ein. Die Gesellschaft kooperiert mit anderen Fachgesellschaften sowie Krankenkassen, Berufsverbänden und anderen Organisationen des Gesundheitswesens. Der Verein ist auch Mitglied in der Deutschen Gesellschaft für Public Health; sie ist im Organisationskomitee der Deutschen Kongresse für Versorgungsforschung vertreten. Der Verein vertritt Deutschland in der European Drug Utilization Research Group  und veranstaltet wissenschaftliche Tagungen auch in Kooperation mit anderen wissenschaftlichen Einrichtungen und Gesellschaften, die auf dem Gebiet der Pharmakoepidemiologie tätig sind. Die 22. Jahrestagung der GAA fand am 3. und 4. Dezember 2015 im Deutschen Hygienemuseum in Dresden statt. Die 1. Vorsitzende ist Katrin Janhsen, 2. Vorsitzender ist Sebastian Harder, 1. Beisitzerin ist Katrin Farker, 2. Beisitzer ist Udo Puteanus, Schriftführer ist Holger Gothe, Schatzmeisterin ist Marion Hippius. Gründungsmitglieder waren Liselotte von Ferber, E. Greiser, H.-U. Melchert, Karl H. Kimbel, F. M. Gerlach, W. Kruse, S. H. Schug, J. Hasford, Annemarie Hoffmann, W. Poser, J. Krappweis und T. Elliger.",2017-07-27 18:24:21
James Mwangi Macharia,https://de.wikipedia.org/wiki/James_Mwangi_Macharia,"James Mwangi Macharia  ist ein kenianischer Langstreckenläufer, der sich auf Straßenläufe spezialisiert hat. 2004 gewann er den Sapporo-Halbmarathon. Im Jahr darauf folgte einem Sieg beim Virginia-Beach-Halbmarathon ein siebter Platz bei den Halbmarathon-Weltmeisterschaften 2005 in Edmonton. 2006 wurde er Siebter beim CPC Loop Den Haag. 2007 qualifizierte er sich mit einem zweiten Platz beim Vienna City Marathon für den Marathon der Leichtathletik-Weltmeisterschaften in Ōsaka, bei dem er jedoch nicht das Ziel erreichte. Beim Rotterdam-Halbmarathon 2008 kam er auf den 13. Platz. 2009 wurde er Sechster beim Sapporo-Halbmarathon und Fünfter beim Nagoya-Halbmarathon, und 2010 kam er beim Sendai-Halbmarathon und beim Sapporo-Halbmarathon jeweils auf den vierten Platz. Im darauffolgenden Jahr lief er nach einem vierten Platz in Sapporo und einem dritten Platz beim Philadelphia-Halbmarathon beim Fukuoka-Marathon als Zweiter ein. 2012 wurde er erneut Vierter in Sapporo. 2013 kehrte er mit einem dritten Platz beim Biwa-See-Marathon auf die 42,195-km-Distanz zurück. 2014 wurde er Neunter beim Biwa-See-Marathon, Sechster beim Enschede-Marathon und Achter beim Valencia-Marathon.",2017-07-27 18:24:23
Lorrha,https://de.wikipedia.org/wiki/Lorrha,"Lorrha  ist ein kleines Dorf in der Nähe des Flusses Shannon im Norden des County Tipperary, in der Republik Irland. Auf der gegenüberliegenden Flussseite im County Galway liegt etwa sechs Kilometer westlich von Lorrha die Kleinstadt Portumna.  Bereits im 6. Jahrhundert gründete St. Ruadhán , ein Gefolgsmann des Hl. Finnian von Clonard, des Master of the Saints of Ireland, in Lorrha ein Kloster. Der Wikinger Turgesius, der auch Monasterboice überfiel, plünderte es vermutlich im Jahre 842. Im 12. Jahrhundert brannte es gleich drei Mal nieder. Die Kirche und die Kirchenruinen des Ortes stehen auf der Liste der Nationalen Monumente von Irland. Außerdem sind bemerkenswert: eine Kirche der Dominikaner, die von Walter de Burgh, 1. Earl von Ulster im Jahre 1269 gegründet wurde. die noch in Nutzung befindliche Kirche der protestantischen Church of Ireland, mit Teilbereichen aus dem 13. und 15. Jahrhundert. Auf dem Friedhof, der ein Überbleibsel des ersten Klosters ist, fand sich der Schaftrest eines frühen Hochkreuzes aus der Ossory-Gruppe. St. Ruadhán’s Church ist ein Überbleibsel des Augustiner-Klosters Beatae Mariae Fontis Vivi aus dem 15. Jahrhundert. Die Kirche besitzt noch Reste des fünfteiligen Ostfensters. In der Nord- und Südmauer sind Lanzettfenstern erhalten. Im Ort befindet sich auch das heute gut restaurierte Redwood Castle , ein im 13. Jahrhundert gegründetes normannisches Turmhaus, das einige Jahrhunderte eine Gesetzesschule des Egan-Clans  beherbergte.",2017-07-27 18:25:02
Izabella Laba,https://de.wikipedia.org/wiki/Izabella_Laba,"Izabella Laba  ist eine polnisch-kanadische Mathematikerin. Sie ist Professorin an der University of British Columbia. Laba studierte ab 1981 an der Universität Breslau  und ab 1989 an der University of Toronto, an der sie 1994 bei Israel Michael Sigal promoviert wurde . Ab 1994 war sie Hedrick Assistant Professor an der University of California, Los Angeles und ab 1997 Assistant Professor an der Princeton University. 2000 wurde sie Associate Professor und 2005 Professor an der University of British Columbia. Sie war Gastwissenschaftlerin am Fields Institute , der Pennsylvania State University und der University of Missouri. Sie befasst sich mit harmonischer Analysis, geometrischer Maßtheorie, additiver Kombinatorik, mathematischer Physik und partiellen Differentialgleichungen. Mit Christian Gérard bewies sie die asymptotische Vollständigkeit für eine große Klasse von N-Körper-Systemen in äußeren magnetischen Feldern. Mit Nets Katz und Terence Tao gab sie die bis dahin besten Resultate für die unteren Grenzen der Minkowski-Dimension von Besicovich-Mengen  in dreidimensionalen euklidischen Räumen . Weitere wichtige Resultate erzielte sie über Translations-Parkettierungen  und Distanz-Mengen . Sie veröffentlichte unter anderem mit Terence Tao und Thomas Wolff. 2008 erhielt sie den Krieger-Nelson-Preis, 2002 einen Faculty of Science Achievement Award der University of British Columbia und 2004 den Coxeter-James-Preis. 2009 wurde sie Fellow des Fields Institute. 2014 ist sie Eingeladene Sprecherin auf dem ICM in Seoul . Mit Carol Shubin gab sie 2003 die Vorlesungen von Thomas Wolff über harmonische Analysis heraus.",2017-07-27 18:25:10
Nemeischer Löwe,https://de.wikipedia.org/wiki/Nemeischer_L%C3%B6we,"Der Nemeische Löwe  war ein unverwundbarer Löwe der griechischen Mythologie, der in den Wäldern der Argolis auf der Peloponnes zwischen Nemea und Kleonai auf Veranlassung von Hera sein Unwesen trieb, indem er Mensch und Tier anfiel. Er ist nicht zu verwechseln mit dem Kithäronischen Löwen. Der Nemeische Löwe war möglicherweise ein Abkömmling von Typhon und Echidna, vielleicht aber auch vom Himmel, vielleicht vom Mond gefallen oder Sohn der Mondgöttin. Die Sage hierzu lautet wie folgt: Herakles war bei der Göttin Hera in Ungnade gefallen, worauf diese ihn in den Wahnsinn schickte. Dem Wahnsinn verfallen, warf Herakles seine 12 Kinder ins Feuer. Um sich von seiner Schuld zu befreien, wurde er dazu verdammt 12 Jahre dem König Eurystheus zu dienen, der ihm 12 Aufgaben auferlegte. Herakles sollte als erste der für Eurystheus zu verrichtenden 12 Arbeiten diesem das Fell des Löwen bringen. Dass der Löwe unverwundbar war, merkte der Held, als er ihn mit Pfeilen beschoss, die aber einfach abprallten. Also schlug er dem Untier, als es auf ihn lossprang, seine riesige Keule  über den Schädel. Der Löwe flüchtete sich in seinen Unterschlupf, eine Felsspalte, die den Berg Tretos in zwei Hälften teilte. Nachdem Herakles den einen Ausgang des Spalts verschlossen hatte, packte er den Löwen, als der am anderen Ende herauskam, und würgte ihn zu Tode. Er balgte den Löwen mit dessen eigenen Krallen ab, denn nur diese waren in der Lage, die Haut des Tieres zu zerschneiden, nahm das Fell über den Arm und machte sich auf den Rückweg nach Tiryns zu Eurystheus. Später kürschnerte er sich aus dem Fell einen Umhang, der ihn fast unverwundbar machte. Als Eurystheus ihn mit dem Fell kommen sah, erschrak er so sehr über dessen Kraft, dass er sich in einem Topf versteckte und sich weigerte, Herakles zu empfangen. Auch später wagte der König nicht mehr, ihn vorzulassen, sondern ließ ihm außerhalb der Stadtmauern seine Befehle von einem gewissen Kopreus übermitteln. Der Löwe wurde später von Hera als Sternbild Löwe an den Himmel versetzt.",2017-07-27 18:26:23
Millionenstadt,https://de.wikipedia.org/wiki/Millionenstadt,"Millionenstadt ist die Bezeichnung für Städte mit mehr als 1.000.000 Einwohnern. Derzeit gibt es auf der Welt ungefähr 300 Millionenstädte. Oft sind Millionenstädte, bedingt durch ihre große Einwohnerzahl, auch gleichzeitig Metropolen oder Weltstädte, allerdings bei weitem nicht immer. Während zahlreiche sehr große Städte, etwa in Asien oder Afrika, wenig oder gar keine internationale Bedeutung besitzen, gibt es etwa in Europa vergleichsweise sehr kleine Städte mit sehr großer Bedeutung im internationalen Städtesystem . Die Anzahl der Millionenstädte in einem Land ist ein möglicher Indikator für den Grad der Verstädterung. So hat Australien mit nur 24 Millionen Einwohnern fünf Millionenstädte , während das über fünfzig Mal bevölkerungsreichere Indien  nur 24 Millionenstädte hat . Die Bezeichnung einer Stadt als Millionenstadt ist ausgesprochen willkürlich, da sie sich im Allgemeinen auf die Einwohnerzahl der politisch-administrativen Stadtgemeinde bezieht. Die Lage von Stadtgrenzen folgt in den meisten Fällen aber nicht den siedlungsstrukturellen oder funktionalen Verflechtungen innerhalb einer Stadtregion, sondern den lokalpolitischen Machtverhältnissen, dem Reformwillen der staatlichen Instanzen oder schlicht dem Zufall. Um den unbefriedigenden und die Statistiken verzerrenden Bezug auf das administrative Stadtgebiet durch einen objektiveren Ansatz zu ersetzen, wird als Bemessungsgrundlage der Einwohnerzahl auch die Agglomeration, also die Kernstadt zuzüglich eng mit ihr verflochtener Vorort­gemeinden, herangezogen. Damit erreicht man zwar eine bessere Annäherung an die tatsächliche Einwohnerzahl der Stadtregion, es schafft allerdings das neue Problem der objektiven Abgrenzung dieser Region. Es sind also objektive Kriterien festzulegen, welche Vorortgemeinden einzubeziehen sind und welche nicht. Hierzu bestehen die unterschiedlichsten Ansätze, etwa die Bevölkerungsdichte des gesamten, des bebauten oder des bebaubaren Gemeindegebietes, die verkehrliche Verknüpfung mit der Kernstadt oder die zusammenhängende Bebauung mit dieser. Im deutschsprachigen Raum gibt es, bezogen auf das administrative Stadtgebiet, seit längerer Zeit vier Millionenstädte . Köln war in den 1970er Jahren bereits kurzzeitig Millionenstadt, verlor diesen Status später wieder, hat aber seit Ende Mai 2010 die Eine-Million-Marke wieder überschritten und ist daher derzeit die fünfte deutschsprachige Millionenstadt. Im Stadtgebiet von Frankfurt am Main halten sich tagsüber, bedingt durch die hohe Zahl der Einpendler, über eine Million Menschen auf, die Zahl der mit Hauptwohnsitz gemeldeten Personen liegt allerdings deutlich darunter. Bezogen auf die Stadtregion, also einschließlich des sogenannten Speckgürtels, zählen im deutschsprachigen Raum auch die Stadtregionen Frankfurt am Main, Stuttgart, Düsseldorf, Hannover, das aus vier Kernstädten bestehende Ruhrgebiet sowie Zürich über eine Million Einwohner. Diese Stadtregionen sind nicht zu verwechseln mit den wesentlich weiter gefassten Metropolregionen, von denen sehr viele die Millionengrenze überschreiten.",2017-07-27 18:26:31
St. Petersburg Open 2000,https://de.wikipedia.org/wiki/St._Petersburg_Open_2000,"Die St. Petersburg Open 2000 waren die 6. Ausgabe des dortigen Tennis-Hallenturniers. Das Turnier war als Turnier der International Series Teil der ATP-Serie. Es fand zusammen mit dem Grand Prix de Tennis de Lyon vom 6. bis 12. November 2000 statt im Sport-und Kozertkompex Peterburgski auf Hartplatz ausgetragen. Das Preisgeld betrug sowohl für Einzel- als auch für Doppelturnier 775.000 $. Im Einzel traten 32 Spieler gegeneinander an, im Doppel waren es 16 Paarungen. Das Einzelturnier gewann der topgesetzte Russe Marat Safin, der damit den Schweizer Marc Rosset als Titelträger ablöste. Rosset scheiterte an Position vier gesetzt bereits in der ersten Runde. Für Safin war es der sechste Einzeltitel in dieser Saison und der 10. seiner Karriere. Titelverteidiger im Doppel waren der US-Amerikaner Jeff Tarango und Daniel Vacek aus Tschechien, die in diesem Jahr beide nicht am Turnier teilnahmen. Stattdessen gewann die an Position vier gesetzte Paarung bestehend aus dem Kanadier Daniel Nestor und dem Kevin Ullyett aus Simbabwe. Dies stellte sowohl für Nestor als auch für Ullyett den dritten Titel der Saison dar, die vorhergehenden erzielten sie allerdings mit anderen Partnern. Außerdem war es Nestors 15. Doppeltitel seiner Karriere, für Ullyett war es der zehnte.",2017-07-27 18:26:45
